scenario_label,scenario,time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
Middle_DRC_NoConflict,Middle_DRC_NoConflict,67,0.666667,128.667,,0.752143,1.787167,0.294745,0.001901,0.000000,0.844622,0.782368
Middle_DRC_NoConflict,Middle_DRC_NoConflict,68,0.676768,130.616,,0.755586,1.769842,0.291113,0.001832,0.000000,0.847300,0.787025
Middle_DRC_NoConflict,Middle_DRC_NoConflict,69,0.686869,132.566,,0.758922,1.753351,0.287684,0.001767,0.000000,0.849850,0.791492
Middle_DRC_NoConflict,Middle_DRC_NoConflict,70,0.696970,134.515,,0.762157,1.737655,0.284447,0.001707,0.000000,0.852278,0.795777
Middle_DRC_NoConflict,Middle_DRC_NoConflict,71,0.707071,136.465,,0.765299,1.722713,0.281391,0.001651,0.000000,0.854590,0.799886
Middle_DRC_NoConflict,Middle_DRC_NoConflict,72,0.717172,138.414,,0.768352,1.708487,0.278506,0.001598,0.000000,0.856791,0.803828
Middle_DRC_NoConflict,Middle_DRC_NoConflict,73,0.727273,140.364,,0.771322,1.694941,0.275783,0.001549,0.000000,0.858886,0.807607
Middle_DRC_NoConflict,Middle_DRC_NoConflict,74,0.737374,142.313,,0.774213,1.682042,0.273212,0.001504,0.000000,0.860879,0.811231
Middle_DRC_NoConflict,Middle_DRC_NoConflict,75,0.747475,144.263,,0.777029,1.669755,0.270785,0.001462,0.000000,0.862775,0.814706
Middle_DRC_NoConflict,Middle_DRC_NoConflict,76,0.757576,146.212,,0.779774,1.658050,0.268494,0.001423,0.000000,0.864578,0.818037
Middle_DRC_NoConflict,Middle_DRC_NoConflict,77,0.767677,148.162,,0.782451,1.646897,0.266330,0.001386,0.000000,0.866292,0.821230
Middle_DRC_NoConflict,Middle_DRC_NoConflict,78,0.777778,150.111,,0.785065,1.636270,0.264286,0.001353,0.000000,0.867922,0.824290
Middle_DRC_NoConflict,Middle_DRC_NoConflict,79,0.787879,152.061,,0.787619,1.626140,0.262356,0.001322,0.000000,0.869473,0.827222
Middle_DRC_NoConflict,Middle_DRC_NoConflict,80,0.797980,154.010,,0.790115,1.616485,0.260533,0.001293,0.000000,0.870947,0.830030
